Position,Track_Name,Artist,Streams,URL,Date,Region
11,Let You Down,NF,2483150,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2018-01-23,global
11,Let You Down,NF,2764398,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2017-11-11,global
10,Let You Down,NF,2765852,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2017-11-13,global
9,Let You Down,NF,2897599,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2017-11-15,global
9,Let You Down,NF,2384204,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2018-01-29,global
9,Let You Down,NF,2684729,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2017-11-20,global
26,Let You Down,NF,1682881,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2018-02-18,global
17,Let You Down,NF,2114883,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2017-10-19,global
11,Let You Down,NF,2278495,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2018-01-14,global
22,Let You Down,NF,1977747,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2017-10-17,global
9,Let You Down,NF,2829801,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2017-11-21,global
9,Let You Down,NF,2317764,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2018-01-07,global
10,Let You Down,NF,2580599,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2018-01-18,global
14,Let You Down,NF,2314544,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2018-02-09,global
32,Let You Down,NF,1704198,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2018-03-01,global
10,Let You Down,NF,2668634,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2017-11-24,global
9,Let You Down,NF,2750960,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2017-11-27,global
11,Let You Down,NF,2304995,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2017-12-17,global
9,Let You Down,NF,2703321,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2017-12-20,global
10,Let You Down,NF,2466850,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2018-01-15,global
12,Let You Down,NF,2227242,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2017-10-23,global
9,Let You Down,NF,2811161,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2017-11-18,global
10,Let You Down,NF,2698172,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2018-01-12,global
18,Let You Down,NF,2203587,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2017-10-20,global
11,Let You Down,NF,2653131,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2017-10-27,global
11,Let You Down,NF,2264793,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2017-11-05,global
9,Let You Down,NF,2600708,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2018-01-25,global
31,Let You Down,NF,1693293,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2018-02-26,global
7,Let You Down,NF,2768461,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2017-12-13,global
8,Let You Down,NF,2704465,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2017-12-21,global
10,Let You Down,NF,2167386,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2018-02-05,global
11,Let You Down,NF,2732260,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2017-11-07,global
8,Let You Down,NF,2582862,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2017-12-29,global
11,Let You Down,NF,2646623,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2017-12-31,global
9,Let You Down,NF,2572907,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2018-01-24,global
37,Let You Down,NF,1573189,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2018-03-10,global
37,Let You Down,NF,1481409,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2018-03-12,global
11,Let You Down,NF,2485478,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2017-10-28,global
11,Let You Down,NF,2475097,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2017-12-23,global
28,Let You Down,NF,2169928,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2017-12-24,global
29,Let You Down,NF,1804946,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2018-02-20,global
11,Let You Down,NF,2514260,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2018-01-20,global
11,Let You Down,NF,2303149,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2018-02-06,global
25,Let You Down,NF,1869194,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2018-02-17,global
9,Let You Down,NF,2937359,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2017-11-17,global
9,Let You Down,NF,2806187,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2017-12-05,global
9,Let You Down,NF,2463202,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2018-02-01,global
17,Let You Down,NF,2056396,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2018-02-12,global
31,Let You Down,NF,1728041,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2018-02-28,global
35,Let You Down,NF,1698519,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2018-03-03,global
36,Let You Down,NF,1591128,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2018-03-08,global
9,Let You Down,NF,2823006,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2017-11-28,global
10,Let You Down,NF,2552088,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2018-01-16,global
11,Let You Down,NF,2787488,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2017-11-03,global
9,Let You Down,NF,2847698,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2017-11-22,global
